Gap (eV),RPA (PBE),MP2/CBS,SCS-MP2/CBS,SOS-MP2/CBS
6.25337,10.53771259,52.3952524,0.6626583314,27.1915517
8.98435,12.64340831,57.90362744,9.372289813,14.89337982
8.11232,24.41713059,57.94180062,2.831008335,33.21727188
8.12779,0.7090549701,61.42895806,23.88759591,5.117015196
6.97118,7.343736992,101.8210677,43.74890286,14.71281996
5.88079,20.42980002,84.01272421,20.79111663,10.81968761
7.25891,9.563287815,121.5219723,46.21388569,8.559842452
7.13471,8.444616146,117.6474998,44.56428979,8.022684634
6.80933,2.535361368,139.367319,65.27750116,28.23281543
6.40432,4.70341836,142.2849377,66.21182467,28.17551364
6.81697,5.428429194,178.0115847,85.7933585,39.6842453
6.44179,3.520751646,172.2485399,82.50733506,37.63673233
9.565,8.769605529,32.39691888,3.99281889,22.18768756
9.61627,7.473550315,44.7469842,2.4173589,18.74745337
11.06789,37.55026624,37.57458172,4.988337933,11.30478325
11.46688,18.30231709,55.79146097,16.42557639,3.25736462
10.145,1.916228879,20.69431249,7.109498341,21.01137189
7.76261,10.08966066,38.87562363,6.368772501,28.99234632
13.47192,1.739422259,17.60183373,15.70910788,32.3645785
13.317,4.85057171,18.76847151,21.30280464,41.33844222
11.4043,8.476285431,21.53354716,14.48152046,32.4890077
9.72161,0.9210247778,11.36093189,7.090212033,16.31578404
7.05864,1.506807034,5.612667845,3.963951854,8.752351106
13.21693,1.052010015,10.50300363,4.893247057,12.59136467
7.16707,2.814672437,82.50978611,28.22016048,1.075420036
7.45463,3.170251526,82.90972375,28.42212074,1.178318678
12.8365816739,1.550288271,5.040208983,3.436170645,7.674367388
12.84553,1.597748163,4.390542742,2.81873759,6.42312794
9.26416,2.75877859,10.47151547,1.886662565,8.065467444
9.21399,0.3967792394,9.890491846,14.7589127,27.08329469
7.11417,0.8445432782,3.383712319,7.422639377,12.82581508
8.08458,12.6082210716,2.175667615,19.78633049,30.76732938
7.24543,2.6116689605,95.87370205,35.26740082,4.964250087
7.2404,1.2329777997,93.30536834,33.24584278,3.216080135
8.51596,4.7825690771,10.55809899,9.730053551,19.87412928
8.5215,6.0430029781,9.226013685,10.82063636,20.84396196
8.19139,14.89688966,83.00469484,29.24882629,0.3103849237
6.45542,12.02821763,62,15.35294118,6.997268403
6.41549,12.16331061,58.1443299,10.20618557,11.16357766
14.23208,20.58493031,2.75862069,32.15517241,50.85555427
9.9556,0.0782712379,42.265625,8.59375,24.82244731
9.44426,0.529494938,129.4736842,5.789473684,42.5399056
11.07447,3.747601927,14.60869565,1,6.968149322
15.77357,5.509653337,1.117541409,10.03791658,11.37560863
15.62126,13.06921205,0.1227854762,10.62971409,13.82540915
14.06325,12.34664335,0.6822057987,9.167140421,12.56834613
13.61927,11.45117875,1.812652068,11.67883212,15.05741676
14.34639,12.05328883,0.222184242,11.98085797,15.35423676
14.02631,11.95513285,0.7957213671,11.57057135,16.38695025
13.63988,11.17997314,1.871176682,13.69797289,17.64056697
14.27455,12.77432361,1.100845292,11.22469039,13.04612378
13.13662,15.20818873,1.734661099,19.53099904,25.79523298
13.15869,15.14838673,1.586549846,17.78356619,25.26257097
12.9968,13.53098516,0.9124087591,18.72262774,26.29356837
14.11933,12.7967406,1.59416374,9.429883815,13.75449223
12.62705,8.811433311,0.6685768863,13.10092327,17.39888459
12.55363,8.875357415,1.600317418,12.52479831,17.77565002
12.31658,7.599984137,0.5389290219,13.88602225,18.85031267
12.51346,8.376070395,0.9809578765,11.32910175,12.7182921
11.84495,6.606275686,1.604768455,12.41976158,16.69586131
12.18631,11.14880445,1.347670251,8.47311828,11.47611916
12.18293,10.73901365,2.197070573,9.693741678,13.97952807
15.47098,6.143446152,2.137522534,10.84728303,14.0748067
13.86074,5.263617791,2.438729198,11.0075643,14.10089961
12.37668,6.350796614,1.930950816,10.90835566,14.25850559
12.27583,5.813835724,1.880104793,10.65906406,13.88041524
11.55668,18.23163292,72.65051395,6.644640235,21.67044379
11.82714,16.46664138,58.01104972,6.550907656,16.65426271
11.84491,7.819915291,14.22272354,15.39171452,27.08081927
11.75346,16.95949263,62.53740275,5.92459605,18.85951885
11.4274,12.93691438,34.7219739,8.582156267,26.55163876
11.81041,11.44977523,28.72705566,7.401880316,22.58299691
12.09721,34.24661367,70.45454545,6.231671554,42.23187307
12.26854,16.6276514,20.48663262,16.82186843,33.03802169
12.36578,15.9476445,19.38803141,11.8602762,26.07044735
12.1987,29.0977478,56.56509695,5.263157895,34.50874291
15.27156,21.54132414,5.419766206,37.64612115,56.95570693
15.06581,21.46890196,2.726574501,39.70814132,58.27120399
14.92704,22.07840379,1.530612245,43.65079365,61.19814569
15.0686,22.89701842,3.671255736,40.59240718,60.06345026
15.24672,21.62984974,5.056932351,37.64233088,56.67937296
12.17687,15.90471942,30.33579966,15.87933978,35.59272845
12.12777,14.74659884,26.32502633,17.62021762,36.07307714
12.30732,12.94382791,13.09499065,28.64269383,45.06529423
12.34582,13.26249773,14.83744806,28.13493033,45.03015733
12.34032,11.25559452,9.785849824,28.05638384,42.55134757
13.44696,23.60149985,7.927747115,35.77521325,54.81153035
14.16872,24.27022707,22.68221574,21.86588921,41.99421857
13.36031,16.27094496,6.038533835,32.91823308,48.64696728
11.8327,12.96965105,32.42574257,8.87553041,25.85106475
11.65667,12.29440496,25.213919,9.326868226,23.65105336
12.10048,12.36308195,26.78408746,8.928029153,23.7721272
12.47026,11.85421214,21.21106055,7.315365768,18.9743
14.24139,16.64228384,7.927225471,12.93047433,22.21540127
12.46918,8.185695951,11.08760051,12.27253491,21.32096514
11.91307,9.931743619,7.196367764,14.82406356,23.46016419
12.43878,7.993033072,8.48540146,12.40875912,15.67359647
12.37399,12.05615817,14.25143954,12.81190019,22.34952404
12.27088,14.08882706,20.13129103,14.34823382,28.00674259
12.31971,9.348780044,17.96384396,11.05613701,22.70992432
12.11073,10.46667861,3.068208638,15.60066084,23.51438972
13.48301,12.90920475,1.844892381,12.77758797,14.4764234
14.56124,14.40523748,1.268626661,14.13612565,21.16437026
15.04758,17.10509161,4.232622161,35.82243634,51.91662301
13.93867,16.24972103,3.656462585,34.26870748,48.75350404
12.17538,13.777476,21.59060582,14.30477716,29.51385481
12.76361,15.6350679,5.564811729,24.79173609,36.98025494
12.19788,10.84608943,2.509746589,10.45321637,16.34395716
12.17421,16.47220848,14.77559254,13.76701967,25.71371031
